"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"The Insolvency And Bankruptcy Code, 2016","45","Avoidance of undervalued transactions","45. Avoidance of undervalued transactions .—(1) If the liquidator or the resolution professional, as 
the case may be, on an examination of the transactions of the corporate debtor referred to in                  
sub-section ( 2) 1*** determines that certain transactions were made during the relevant period under 
section 46, which were undervalued, he sha ll make an application to the Adjudicating Authority to 
declare such transactions as void and reverse the effect of such transaction in accordance with this 
Chapter.  
(2) A transaction shall be considered undervalued where the corporate debtor — 
(a) makes a gift to a person; or  
(b) enters into a transaction with a person which involves the transfer of one or more assets by the 
corporate debtor for a consideration the value of which is significantly less than the value of the 
consideration provided by the corp orate debtor,  
and such transaction has not taken place in the ordinary course of business of the corporate debtor.","undervalued transaction","application to NCLT",""
"","","","","corporate debtor","transaction records",""
"","","","","liquidator","financial statements",""
"","","","","resolution professional","valuation report",""
"","","","","Adjudicating Authority","insolvency resolution plan",""
"","","","","void transaction","liquidation plan",""
"","","","","asset transfer","",""
"","","","","gift","",""
"","","","","ordinary course of business","",""
"The Insolvency And Bankruptcy Code, 2016","46","Relevant period for avoidable transactions","46. Relevant period for avoidable transactions .—(1) In an application for avoiding a transaction at 
undervalue, the liquidator or the resolut ion professional, as the case may be, shall demonstrate that — 
(i) such transaction was made with any person within the period of one year preceding the 
insolvency commencement date; or  
(ii) such transaction was made with a related party within the period o f two years preceding the 
insolvency commencement date.  
(2) The Adjudicating Authority may require an independent expert to assess evidence relating to the 
value of the transactions mentioned in this section.","undervalued transaction","application to NCLT",""
"","","","","avoidable transaction","transaction records",""
"","","","","relevant period","financial statements",""
"","","","","insolvency commencement date","valuation report",""
"","","","","related party","due diligence report",""
"","","","","liquidator","",""
